Age,Vehicle_Use,Severity,Claim_Count
17–20,Pleasure,250.48,21
17–20,DriveShort,274.78,40
17–20,DriveLong,244.52,23
17–20,Business,797.8,5
21–24,Pleasure,213.71,63
21–24,DriveShort,298.6,171
21–24,DriveLong,298.13,92
21–24,Business,362.23,44
25–29,Pleasure,250.57,140
25–29,DriveShort,248.56,343
25–29,DriveLong,297.9,318
25–29,Business,342.31,129
30–34,Pleasure,229.09,123
30–34,DriveShort,228.48,448
30–34,DriveLong,293.87,361
30–34,Business,367.46,169
35–39,Pleasure,153.62,151
35–39,DriveShort,201.67,479
35–39,DriveLong,238.21,381
35–39,Business,256.21,166
40–49,Pleasure,208.59,245
40–49,DriveShort,202.8,970
40–49,DriveLong,236.06,719
40–49,Business,352.49,304
50–59,Pleasure,207.57,266
50–59,DriveShort,202.67,859
50–59,DriveLong,253.63,504
50–59,Business,340.56,162
60+,Pleasure,192,260
60+,DriveShort,196.33,578
60+,DriveLong,259.79,312
60+,Business,342.58,96
